Tanggal;Harga
03/01/2019;667000
04/01/2019;672000
05/01/2019;664000
07/01/2019;664000
08/01/2019;660000
09/01/2019;657000
10/01/2019;662000
11/01/2019;660000
12/01/2019;660000
14/01/2019;660000
15/01/2019;660000
16/01/2019;661000
17/01/2019;663000
18/01/2019;663000
21/01/2019;661000
22/01/2019;660000
23/01/2019;662000
24/01/2019;660000
25/01/2019;658000
26/01/2019;668000
28/01/2019;666000
29/01/2019;663000
30/01/2019;667000
31/01/2019;671000
01/02/2019;670000
04/02/2019;666000
06/02/2019;666000
07/02/2019;663000
08/02/2019;665000
09/02/2019;666000
11/02/2019;666000
12/02/2019;664000
13/02/2019;667000
14/02/2019;664000
15/02/2019;668000
16/02/2019;672000
18/02/2019;671000
19/02/2019;674000
20/02/2019;680000
21/02/2019;677000
22/02/2019;673000
23/02/2019;675000
25/02/2019;674000
26/02/2019;671000
27/02/2019;670000
28/02/2019;665000
01/03/2019;664000
02/03/2019;660000
04/03/2019;656500
05/03/2019;656000
06/03/2019;656500
08/03/2019;655500
09/03/2019;660000
11/03/2019;663500
12/03/2019;665000
13/03/2019;670000
14/03/2019;671000
15/03/2019;666000
16/03/2019;671000
18/03/2019;669500
19/03/2019;666500
20/03/2019;667500
21/03/2019;671000
22/03/2019;663000
23/03/2019;667000
25/03/2019;666000
26/03/2019;672000
27/03/2019;667000
28/03/2019;665000
01/04/2019;660000
02/04/2019;660000
04/04/2019;661000
05/04/2019;660500
06/04/2019;660500
08/04/2019;660500
09/04/2019;662000
10/04/2019;663500
11/04/2019;664500
12/04/2019;660000
13/04/2019;659500
15/04/2019;660000
16/04/2019;657500
18/04/2019;656000
20/04/2019;656000
22/04/2019;656000
23/04/2019;656000
24/04/2019;656000
25/04/2019;658000
26/04/2019;661000
27/04/2019;664500
29/04/2019;664000
30/04/2019;661500
02/05/2019;661000
03/05/2019;660000
04/05/2019;665000
06/05/2019;664000
07/05/2019;665000
08/05/2019;665500
09/05/2019;662000
10/05/2019;664000
11/05/2019;664000
13/05/2019;664500
14/05/2019;669000
15/05/2019;669000
16/05/2019;669000
17/05/2019;665000
18/05/2019;663000
20/05/2019;663000
21/05/2019;663000
22/05/2019;662000
23/05/2019;662000
24/05/2019;666000
27/05/2019;665000
28/05/2019;662000
29/05/2019;662000
31/05/2019;662000
10/06/2019;681000
11/06/2019;673000
12/06/2019;673000
13/06/2019;675000
14/06/2019;681000
15/06/2019;681000
17/06/2019;679000
18/06/2019;682000
19/06/2019;684000
20/06/2019;694000
21/06/2019;702000
22/06/2019;699000
24/06/2019;702500
25/06/2019;713000
26/06/2019;709000
27/06/2019;707000
28/06/2019;711000
29/06/2019;705000
01/07/2019;699000
02/07/2019;694000
03/07/2019;714000
04/07/2019;711000
05/07/2019;709000
06/07/2019;701000
08/07/2019;700000
09/07/2019;699000
10/07/2019;699000
11/07/2019;711000
12/07/2019;701000
13/07/2019;706000
15/07/2019;706000
16/07/2019;702000
17/07/2019;697000
18/07/2019;705000
19/07/2019;714000
20/07/2019;703000
22/07/2019;704000
23/07/2019;705000
24/07/2019;703000
25/07/2019;708000
26/07/2019;702000
27/07/2019;704000
29/07/2019;705000
30/07/2019;707000
31/07/2019;711000
01/08/2019;702500
02/08/2019;717000
03/08/2019;722000
05/08/2019;724000
06/08/2019;739000
07/08/2019;746000
08/08/2019;753000
09/08/2019;752000
10/08/2019;747000
12/08/2019;749000
13/08/2019;755000
14/08/2019;754000
15/08/2019;759000
16/08/2019;766000
17/08/2019;759000
19/08/2019;757000
20/08/2019;749000
21/08/2019;756000
22/08/2019;755000
23/08/2019;751000
24/08/2019;765000
26/08/2019;774000
27/08/2019;766500
28/08/2019;772000
29/08/2019;771000
30/08/2019;766000
31/08/2019;763000
02/09/2019;768000
03/09/2019;765000
04/09/2019;775000
05/09/2019;775000
06/09/2019;765000
07/09/2019;759000
09/09/2019;758000
10/09/2019;754000
11/09/2019;751000
12/09/2019;752000
13/09/2019;753000
14/09/2019;745000
16/09/2019;753000
17/09/2019;753000
18/09/2019;757000
19/09/2019;752000
20/09/2019;756000
21/09/2019;763000
23/09/2019;762000
24/09/2019;765000
25/09/2019;769000
26/09/2019;762000
27/09/2019;762000
28/09/2019;761000
30/09/2019;761000
01/10/2019;751000
02/10/2019;755000
03/10/2019;762000
04/10/2019;764000
05/10/2019;761000
07/10/2019;761000
08/10/2019;756000
09/10/2019;762000
10/10/2019;766000
11/10/2019;758000
12/10/2019;756000
14/10/2019;754000
15/10/2019;756000
16/10/2019;752000
17/10/2019;758000
18/10/2019;758000
19/10/2019;756000
21/10/2019;756000
22/10/2019;752000
23/10/2019;751000
24/10/2019;752000
25/10/2019;754000
26/10/2019;757000
28/10/2019;757000
29/10/2019;752000
30/10/2019;751000
31/10/2019;755000
01/11/2019;764000
02/11/2019;764000
04/11/2019;763000
05/11/2019;758000
06/11/2019;750000
07/11/2019;750000
08/11/2019;745000
09/11/2019;741000
11/11/2019;742000
12/11/2019;741000
13/11/2019;743000
14/11/2019;746000
15/11/2019;748000
16/11/2019;747000
18/11/2019;748000
19/11/2019;749000
20/11/2019;751000
21/11/2019;751000
22/11/2019;748000
23/11/2019;747000
25/11/2019;747000
26/11/2019;743000
27/11/2019;745000
28/11/2019;744000
29/11/2019;744000
30/11/2019;747000
02/12/2019;746000
03/12/2019;747000
04/12/2019;753000
05/12/2019;752000
06/12/2019;751000
07/12/2019;747000
09/12/2019;744000
10/12/2019;743000
11/12/2019;744000
12/12/2019;750000
13/12/2019;746000
14/12/2019;750000
16/12/2019;749000
17/12/2019;751000
18/12/2019;752000
19/12/2019;751000
20/12/2019;751000
21/12/2019;752000
23/12/2019;752000
26/12/2019;758000
27/12/2019;762000
30/12/2019;762000
02/01/2020;762000
03/01/2020;766000
04/01/2020;774000
06/01/2020;783000
07/01/2020;784000
08/01/2020;799000
09/01/2020;782000
10/01/2020;777000
11/01/2020;780000
13/01/2020;778000
14/01/2020;767000
15/01/2020;767000
16/01/2020;772000
17/01/2020;768000
18/01/2020;770000
20/01/2020;769000
21/01/2020;771000
22/01/2020;769000
23/01/2020;772000
24/01/2020;768000
27/01/2020;774000
28/01/2020;774000
29/01/2020;771000
30/01/2020;774000
31/01/2020;774000
01/02/2020;781000
03/02/2020;779000
04/02/2020;778000
05/02/2020;771000
06/02/2020;770000
07/02/2020;772000
10/02/2020;775000
11/02/2020;776000
12/02/2020;774000
13/02/2020;774000
14/02/2020;777000
15/02/2020;780000
17/02/2020;779000
18/02/2020;779000
19/02/2020;783000
20/02/2020;788000
21/02/2020;793000
22/02/2020;804000
24/02/2020;809000
24/02/2020;819000
25/02/2020;809000
26/02/2020;808000
27/02/2020;813000
28/02/2020;816000
29/02/2020;806000
02/03/2020;810000
03/03/2020;815000
04/03/2020;827000
05/03/2020;822000
06/03/2020;837000
07/03/2020;842000
09/03/2020;851000
10/03/2020;842000
11/03/2020;839000
12/03/2020;831000
13/03/2020;812000
14/03/2020;809000
16/03/2020;819000
17/03/2020;801000
18/03/2020;826000
19/03/2020;814000
20/03/2020;824000
21/03/2020;870000
22/03/2020;870000
23/03/2020;861000
23/03/2020;891000
24/03/2020;919000
26/03/2020;924000
27/03/2020;924000
30/03/2020;926000
31/03/2020;924000
01/04/2020;911000
02/04/2020;918000
03/04/2020;944000
04/04/2020;934000
06/04/2020;931000
07/04/2020;963000
08/04/2020;946000
09/04/2020;938000
11/04/2020;951000
13/04/2020;952000
14/04/2020;948000
15/04/2020;943000
16/04/2020;939000
17/04/2020;942000
18/04/2020;927000
20/04/2020;917000
21/04/2020;924000
22/04/2020;928000
23/04/2020;934000
24/04/2020;944000
25/04/2020;943000
27/04/2020;939000
28/04/2020;935000
29/04/2020;928000
30/04/2020;928000
02/05/2020;916000
04/05/2020;914000
05/05/2020;913000
06/05/2020;913000
08/05/2020;918000
09/05/2020;911000
11/05/2020;911000
12/05/2020;903000
13/05/2020;908000
14/05/2020;910000
15/05/2020;917000
16/05/2020;919000
18/05/2020;934000
19/05/2020;924000
20/05/2020;926000
22/05/2020;916000
26/05/2020;917000
